disease_code,disease_name,crop,status,severity,action_required,chemical_control,organic_control,prevention,cultural_practices,symptoms,treatment_urgency
Apple___Apple_scab,Apple scab,Apple,DISEASED,Medium,Treat immediately,Apply Myclobutanil or Captan every 7-10 days,Use sulfur spray or neem oil,"Plant resistant varieties, rake fallen leaves in autumn","Prune for air circulation, remove infected leaves",Olive-green to black velvety spots on leaves and fruit,Moderate
Apple___Black_rot,Black rot,Apple,DISEASED,High,Immediate treatment needed,Apply Captan or Mancozeb every 7-14 days,Use copper fungicide or Bordeaux mixture,"Remove mummified fruits, prune dead wood","Sanitize pruning tools, clean up fallen fruit","Purple spots turning black, black shriveled fruit",Immediate
Apple___Cedar_apple_rust,Cedar apple rust,Apple,DISEASED,Medium,Treat within 7 days,Apply Myclobutanil or Propiconazole,Use sulfur dust or neem oil,"Remove nearby juniper trees, plant resistant varieties","Prune infected branches, improve air flow","Yellow-orange spots on leaves, cup-shaped structures",Moderate
Apple___healthy,healthy,Apple,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Blueberry___healthy,healthy,Blueberry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Cherry_(including_sour)___Powdery_mildew,Powdery mildew,Cherry,DISEASED,Medium,Treat within 5-7 days,Apply Trifloxystrobin or Myclobutanil,Use milk spray (1:9 ratio) or potassium bicarbonate,"Ensure good air circulation, avoid excess nitrogen","Prune dense foliage, water at base only",White/gray powdery spots on leaves and stems,Moderate
Cherry_(including_sour)___healthy,healthy,Cherry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Cercospora leaf spot Gray leaf spot,Corn,DISEASED,Medium,Treat within 7 days,Apply Azoxystrobin or Pyraclostrobin,Use copper fungicide or neem oil,"Crop rotation, tillage to bury residue","Remove infected debris, resistant varieties",Gray-brown rectangular lesions parallel to leaf veins,Moderate
Corn_(maize)___Common_rust_,Common rust,Corn,DISEASED,Low-Medium,Monitor and treat if severe,Apply Azoxystrobin or Propiconazole,Use sulfur dust,"Plant resistant hybrids, early planting","Destroy volunteer corn, crop rotation",Small brown pustules on leaves,Low
Corn_(maize)___Northern_Leaf_Blight,Northern Leaf Blight,Corn,DISEASED,High,Immediate treatment,Apply Azoxystrobin or Pyraclostrobin,Use copper fungicide,"Plant resistant hybrids, crop rotation","Remove crop residue, tillage",Long cigar-shaped gray-green lesions,Immediate
Corn_(maize)___healthy,healthy,Corn,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Grape___Black_rot,Black rot,Grape,DISEASED,High,Immediate treatment needed,Apply Captan or Mancozeb every 7-14 days,Use copper fungicide or Bordeaux mixture,"Remove mummified fruits, prune dead wood","Sanitize pruning tools, clean up fallen fruit","Purple spots turning black, black shriveled fruit",Immediate
Grape___Esca_(Black_Measles),Esca (Black Measles),Grape,DISEASED,High,Remove infected vines,No effective chemical control,No organic treatment available,"Use disease-free cuttings, avoid wounding","Remove and destroy infected vines, replant","Dark spots on leaves, tiger-striped leaves, dead vines",Immediate - remove infected plants
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Leaf blight (Isariopsis Leaf Spot),Grape,DISEASED,Medium,Treat within 7 days,Apply Mancozeb or Copper hydroxide,Use copper fungicide,"Good air circulation, remove infected leaves","Prune to improve airflow, clean up debris",Brown irregular spots on leaves,Moderate
Grape___healthy,healthy,Grape,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Orange___Haunglongbing_(Citrus_greening),Haunglongbing (Citrus greening),Orange,DISEASED,Critical,Report to agricultural authorities,No cure - control psyllid vectors with Imidacloprid,"Use neem oil for psyllids, reflective mulch","Use certified disease-free trees, control psyllids",Remove infected trees immediately,"Yellow shoots, blotchy mottled leaves, small misshapen fruit",Immediate - tree removal required
Peach___Bacterial_spot,Bacterial spot,Peach,DISEASED,Medium-High,Treat immediately,Apply Copper hydroxide + Mancozeb,Use copper soap or Serenade,"Use disease-free seeds, rotate crops","Avoid overhead watering, sanitize tools",Small water-soaked spots turning brown with yellow halos,Immediate
Peach___healthy,healthy,Peach,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
"Pepper,_bell___Bacterial_spot",Bacterial spot,Pepper,DISEASED,Medium-High,Treat immediately,Apply Copper hydroxide + Mancozeb,Use copper soap or Serenade,"Use disease-free seeds, rotate crops","Avoid overhead watering, sanitize tools",Small water-soaked spots turning brown with yellow halos,Immediate
"Pepper,_bell___healthy",healthy,Pepper,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Potato___Early_blight,Early blight,Potato,DISEASED,High,Treat immediately,Apply Chlorothalonil or Mancozeb every 7-10 days,Use copper fungicide or Bacillus subtilis,"Crop rotation, resistant varieties","Remove infected lower leaves, stake plants, mulch",Dark concentric rings on lower leaves,Immediate
Potato___Late_blight,Late blight,Potato,DISEASED,Critical,Immediate action required,Apply Chlorothalonil or Revus Top every 5-7 days,Use copper fungicide,"Resistant varieties, destroy volunteer plants",Remove and destroy infected plants immediately,Large dark lesions with white fuzzy growth underneath,Immediate - can destroy entire crop
Potato___healthy,healthy,Potato,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Raspberry___healthy,healthy,Raspberry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Soybean___healthy,healthy,Soybean,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Squash___Powdery_mildew,Powdery mildew,Squash,DISEASED,Medium,Treat within 5-7 days,Apply Trifloxystrobin or Myclobutanil,Use milk spray (1:9 ratio) or potassium bicarbonate,"Ensure good air circulation, avoid excess nitrogen","Prune dense foliage, water at base only",White/gray powdery spots on leaves and stems,Moderate
Strawberry___Leaf_scorch,Leaf scorch,Strawberry,DISEASED,Medium,Treat within 7 days,Apply Captan or Iprodione,Use copper fungicide,"Use disease-free plants, avoid overhead watering","Remove infected leaves, improve air circulation","Purple to brown spots on leaves, leaf margins scorched",Moderate
Strawberry___healthy,healthy,Strawberry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Tomato___Bacterial_spot,Bacterial spot,Tomato,DISEASED,Medium-High,Treat immediately,Apply Copper hydroxide + Mancozeb,Use copper soap or Serenade,"Use disease-free seeds, rotate crops","Avoid overhead watering, sanitize tools",Small water-soaked spots turning brown with yellow halos,Immediate
Tomato___Early_blight,Early blight,Tomato,DISEASED,High,Treat immediately,Apply Chlorothalonil or Mancozeb every 7-10 days,Use copper fungicide or Bacillus subtilis,"Crop rotation, resistant varieties","Remove infected lower leaves, stake plants, mulch",Dark concentric rings on lower leaves,Immediate
Tomato___Late_blight,Late blight,Tomato,DISEASED,Critical,Immediate action required,Apply Chlorothalonil or Revus Top every 5-7 days,Use copper fungicide,"Resistant varieties, destroy volunteer plants",Remove and destroy infected plants immediately,Large dark lesions with white fuzzy growth underneath,Immediate - can destroy entire crop
Tomato___Leaf_Mold,Leaf Mold,Tomato,DISEASED,Medium,Treat within 5 days,Apply Chlorothalonil or Copper fungicide,Use neem oil or potassium bicarbonate,"Reduce humidity, improve air circulation","Water at base, remove infected leaves",Pale green/yellow spots on leaves with olive-brown mold underside,Moderate
Tomato___Septoria_leaf_spot,Septoria leaf spot,Tomato,DISEASED,Medium-High,Treat within 7 days,Apply Chlorothalonil or Mancozeb,Use copper fungicide,"Crop rotation, avoid overhead watering","Remove infected leaves, stake plants",Small circular spots with gray centers and dark borders,Immediate
Tomato___Spider_mites Two-spotted_spider_mite,Spider mites Two-spotted spider mite,Tomato,DISEASED,Medium,Treat immediately,Apply Abamectin or Bifenthrin,"Use insecticidal soap, neem oil, or predatory mites","Regular monitoring, avoid drought stress","Spray leaves with water, remove heavily infested leaves","Tiny webs, stippled/yellowing leaves",Immediate
Tomato___Target_Spot,Target Spot,Tomato,DISEASED,Medium,Treat within 7 days,Apply Chlorothalonil or Azoxystrobin,Use copper fungicide,"Crop rotation, resistant varieties","Remove infected leaves, improve air flow",Circular spots with concentric rings (target-like),Moderate
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato Yellow Leaf Curl Virus,Tomato,DISEASED,High,Remove infected plants,No cure - control whitefly vectors with Imidacloprid,"Use neem oil, yellow sticky traps for whiteflies","Use virus-resistant varieties, reflective mulch","Remove infected plants immediately, control whiteflies","Stunted growth, yellowing, upward leaf curling",Immediate - remove infected plants
Tomato___Tomato_mosaic_virus,Tomato mosaic virus,Tomato,DISEASED,High,Remove infected plants,No cure for virus,No treatment available,"Use virus-free seeds, disinfect tools","Remove infected plants, wash hands after handling",Mottled light and dark green pattern on leaves,Immediate - remove infected plants
Tomato___healthy,healthy,Tomato,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
